customer_no,owner_indic,acct_type,utilization,utilization_count
9320,1,5,Low,1
9320,1,6,Low,6
9320,1,7,High,11
9320,1,7,Low,1
9320,1,10,High,1
9320,1,10,Low,2
9320,1,13,Low,2
9321,1,10,High,2
9321,1,10,Low,1
9321,1,13,Low,1
9321,4,2,High,1
9322,1,5,Low,2
9322,1,6,Low,4
9322,1,10,High,4
9322,1,10,Low,4
9323,1,10,Low,4
9324,1,5,High,4
9324,1,5,Low,2
9324,1,10,High,2
9324,1,10,Low,4
9325,1,10,Low,4
9326,1,5,Low,1
9326,1,10,High,1
9326,1,10,Low,1
9326,1,13,Low,1
9327,1,0,Low,1
9327,1,5,High,3
9327,1,5,Low,2
9327,1,6,Low,11
9327,1,7,High,1
9327,1,10,High,6
9327,1,10,Low,6
9328,1,1,High,1
9328,1,10,Low,2
9329,1,5,High,1
9329,1,6,Low,3
9329,1,10,High,1
9329,1,10,Low,1
9329,1,13,Low,1
9330,1,10,High,2
9330,1,10,Low,1
9331,1,0,Low,1
9331,1,1,High,1
9331,1,2,High,1
9331,1,5,High,1
9331,1,6,Low,1
9331,1,10,High,2
9331,1,13,Low,2
9332,1,7,High,2
9332,1,7,Low,1
9332,1,10,Low,2
9333,1,10,Low,2
9334,1,6,Low,1
9334,1,10,High,3
9334,1,10,Low,1
9334,1,12,High,1
9334,1,32,High,1
9335,1,5,High,1
9335,1,10,High,2
9335,1,10,Low,1
9335,1,32,High,1
9336,1,1,Low,1
9336,1,6,Low,1
9336,1,10,Low,1
9337,1,0,High,2
9337,1,5,High,4
9337,1,10,Low,3
9338,1,2,High,1
9338,1,10,High,1
9338,1,10,Low,2
9339,1,10,Low,2
9340,1,5,High,1
9340,1,10,Low,1
9341,1,1,High,2
9341,1,5,High,7
9341,1,10,High,3
9341,1,10,Low,3
9341,1,12,High,1
9342,1,5,High,2
9342,1,10,High,3
9342,1,10,Low,5
9342,2,10,High,2
9342,2,10,Low,2
9343,1,0,High,2
9343,1,2,High,1
9343,1,10,Low,3
9343,4,2,High,1
9344,1,6,Low,4
9344,1,10,Low,4
9345,1,10,Low,3
9346,1,5,High,1
9346,1,10,High,4
9346,1,10,Low,1
9347,1,1,High,1
9347,1,5,High,8
9347,1,5,Low,3
9347,1,6,Low,4
9347,1,10,High,6
9347,1,10,Low,4
9347,2,10,Low,1
9348,1,1,High,1
9348,1,5,High,1
9348,1,10,High,2
9348,1,10,Low,1
9349,1,5,High,3
9349,1,6,Low,2
9349,1,10,High,2
9349,1,10,Low,6
9349,1,12,High,1
9350,1,10,Low,1
9351,1,10,Low,1
9351,4,8,High,1
9352,1,10,High,3
9352,1,10,Low,4
9352,1,15,High,1
9352,1,15,Low,1
9352,1,54,High,1
9352,2,10,High,1
9352,3,2,High,1
9352,4,54,High,1
9353,1,5,High,1
9353,1,10,Low,2
9353,1,13,Low,1
9354,1,1,High,1
9354,1,6,Low,3
9355,1,10,High,1
9355,1,10,Low,2
9355,1,12,High,1
9356,1,10,High,6
9356,1,10,Low,1
9357,1,10,Low,2
9357,4,17,High,1
9358,1,53,High,1
9358,1,53,Low,1
9359,1,5,Low,3
9359,1,6,Low,3
9359,1,10,High,1
9359,1,10,Low,2
9360,1,10,High,2
9361,1,10,Low,2
9362,1,10,Balanced,1
9362,1,10,High,2
9362,1,10,Low,3
9363,1,5,Low,1
9363,1,6,Low,10
9363,1,10,High,1
9363,1,10,Low,2
9363,1,32,High,1
9363,4,5,High,1
9364,1,5,High,2
9364,1,6,Low,1
9364,1,10,High,5
9364,1,10,Low,3
9364,2,10,High,1
9364,2,10,Low,1
9365,1,6,Low,1
9365,1,10,High,1
9366,1,3,High,1
9366,1,5,High,1
9366,1,5,Low,2
9366,1,6,Low,4
9366,1,10,High,4
9366,1,10,Low,4
9366,3,6,Low,1
9366,4,2,High,1
9367,1,10,Low,1
9368,1,1,High,2
9368,1,6,Low,3
9368,1,10,Low,3
9368,1,13,Low,1
9368,4,2,High,1
9369,1,10,Low,2
9370,1,6,Low,1
9370,1,10,High,3
9370,1,10,Low,6
9371,1,1,High,1
9371,1,5,High,1
9371,1,6,Low,4
9371,1,13,Low,2
9371,3,32,High,1
9371,4,32,High,1
9372,1,5,High,1
9372,1,6,Low,8
9372,1,10,Low,2
9372,1,13,Low,1
9373,1,10,High,1
9373,1,10,Low,1
9374,1,7,High,3
9374,1,7,Low,1
9374,1,10,Low,1
9374,1,13,Low,1
9374,1,32,High,1
9374,1,51,High,1
9374,4,5,High,3
9375,1,0,High,1
9375,1,5,High,1
9375,1,10,High,1
9375,1,10,Low,2
9376,1,5,Low,1
9376,1,10,Low,3
9376,1,13,Low,1
9377,1,6,Low,1
9377,1,10,Low,4
9377,1,13,Low,1
9378,1,1,High,2
9378,1,2,High,2
9378,1,6,High,1
9378,1,6,Low,2
9378,1,10,High,3
9378,1,10,Low,2
9378,2,10,High,1
9378,4,2,High,2
9379,1,5,High,1
9379,1,10,High,7
9379,1,10,Low,3
9379,2,10,Low,1
9380,1,10,High,1
9380,1,13,Low,1
9381,1,6,Low,1
9381,1,8,High,1
9381,1,10,High,1
9381,1,12,High,1
9382,1,1,High,3
9382,1,2,High,2
9382,1,6,Low,9
9382,1,10,Low,1
9382,3,13,Low,1
9383,1,1,High,2
9383,1,10,Low,1
9383,1,13,Low,2
9384,1,6,Low,1
9384,4,2,High,1
9385,1,5,High,1
9385,1,10,High,3
9385,1,10,Low,1
9385,4,0,High,1
9386,1,0,High,1
9386,1,6,Low,6
9386,1,10,High,2
9386,1,10,Low,1
9386,1,13,Low,1
9386,1,17,High,1
9387,1,10,High,1
9387,1,10,Low,2
9387,4,5,High,1
9388,1,10,High,1
9388,1,10,Low,2
9388,1,13,Low,1
9389,1,2,High,1
9389,1,6,Low,7
9389,1,9,High,1
9389,1,10,High,1
9389,1,10,Low,1
9390,1,5,High,1
9390,1,10,Low,2
9391,1,0,High,1
9391,1,5,High,1
9391,1,10,High,1
9391,1,10,Low,2
9392,1,6,Low,1
9392,1,10,High,1
9392,1,10,Low,2
9393,1,1,High,1
9393,1,1,Low,1
9393,1,6,Low,1
9393,1,10,High,1
9393,1,10,Low,7
9393,3,1,High,1
9394,1,5,High,2
9394,1,10,Low,1
9394,1,13,Low,1
9395,1,10,Low,1
9396,1,10,Low,1
9397,1,0,Low,2
9397,1,5,Low,1
9397,1,7,Low,2
9397,1,10,Low,4
9398,1,1,High,1
9398,1,6,Low,3
9398,1,10,High,1
9399,1,2,High,2
9399,1,5,High,2
9399,1,5,Low,3
9399,1,6,High,1
9399,1,6,Low,4
9399,1,10,High,1
9399,1,10,Low,5
9399,1,13,Low,3
9399,1,15,Low,1
9399,1,51,High,3
9400,1,1,High,1
9400,1,2,High,1
9400,1,5,High,2
9400,1,6,Low,1
9400,1,10,Low,4
9400,1,13,Low,1
9400,1,51,High,3
9400,4,2,High,3
9400,4,3,High,1
9401,1,6,Low,2
9401,1,10,High,1
9401,1,13,Low,1
9402,1,5,High,2
9402,1,10,Low,2
9403,1,6,Low,4
9403,1,10,High,3
9403,1,10,Low,2
9403,2,10,Low,1
9404,1,0,Low,1
9404,1,5,High,1
9404,1,6,Low,2
9404,1,10,Balanced,1
9404,1,10,Low,2
9404,1,53,High,2
9404,1,53,Low,2
9405,1,1,High,2
9405,1,7,High,1
9405,1,7,Low,4
9405,1,10,High,1
9406,1,0,Low,1
9406,1,5,High,1
9406,1,7,High,2
9406,1,10,Low,3
9407,1,10,High,1
9407,1,10,Low,4
9408,1,0,High,1
9408,1,5,High,1
9408,1,6,Low,1
9408,1,10,Low,1
9409,1,10,Low,2
9410,1,10,High,1
9410,1,10,Low,3
9411,1,5,High,1
9411,1,5,Low,2
9411,1,10,High,3
9411,1,10,Low,6
9411,1,32,High,1
9412,1,0,High,1
9412,1,1,High,1
9412,1,2,High,2
9412,1,10,High,4
9412,1,10,Low,8
9412,1,13,Low,1
9413,1,0,High,1
9413,1,8,High,1
9413,1,10,Low,3
9414,1,6,Low,6
9414,1,10,High,1
9414,1,10,Low,6
9415,1,2,High,1
9415,1,5,High,2
9415,1,5,Low,3
9415,1,10,Balanced,1
9415,1,10,High,3
9415,1,10,Low,6
9415,1,59,High,1
9416,1,5,High,1
9416,1,5,Low,1
9416,1,10,High,2
9416,1,10,Low,2
9416,1,51,High,2
9416,4,2,High,1
9416,4,6,Low,1
9416,4,51,High,4
9417,1,10,High,1
9417,1,10,Low,2
9418,1,10,Low,2
9419,1,10,High,2
9419,1,13,Low,1
9419,4,1,High,1
9419,4,5,High,1
9420,1,5,Low,2
9420,1,6,Low,3
9420,1,10,High,3
9420,1,10,Low,4
9420,1,13,Low,1
9420,4,2,High,1
9420,4,4,High,1
9421,1,1,High,3
9421,1,5,High,1
9421,1,6,Low,1
9421,1,10,Low,2
9422,1,10,Low,4
9422,1,13,Low,2
9423,1,2,High,1
9423,1,5,Low,1
9423,1,10,High,1
9423,1,10,Low,5
9423,1,12,High,1
9423,1,13,Low,1
9424,1,5,High,1
9424,1,10,Low,3
9425,1,5,High,2
9425,1,10,High,1
9425,1,10,Low,2
9426,1,10,High,2
9426,1,10,Low,2
9426,1,13,Low,1
9427,1,5,High,1
9427,1,10,Low,1
9428,1,5,High,2
9428,1,10,Low,1
9429,1,10,Low,3
9429,1,13,Low,1
9429,4,13,Low,1
9430,1,6,Low,2
9430,1,10,Low,1
9430,1,13,Low,1
9431,1,10,Low,2
9432,1,10,Low,1
9432,1,13,Low,1
9433,1,5,High,2
9433,1,10,High,1
9433,1,10,Low,2
9433,1,13,Low,3
9433,4,1,High,1
9433,4,2,High,1
9433,4,3,High,1
9434,1,1,High,1
9434,1,2,High,1
9434,1,6,Low,2
9434,1,10,High,1
9434,1,10,Low,1
9434,1,13,Low,2
9434,1,32,High,1
9434,4,1,High,1
9435,1,0,High,1
9435,1,5,High,1
9435,1,10,Low,2
9436,1,6,Low,2
9436,1,10,Low,2
9436,3,1,High,1
9437,1,6,Low,1
9437,1,10,High,1
9437,1,10,Low,1
9438,1,10,High,1
9438,3,2,High,1
9438,4,2,High,1
9438,4,51,Low,1
9439,1,5,High,1
9439,1,10,High,2
9439,1,10,Low,4
9439,4,2,High,2
9440,1,2,High,1
9440,1,12,High,1
9441,1,5,Low,1
9441,1,6,Low,1
9441,1,10,Low,4
9442,1,5,High,1
9442,1,10,Low,2
9443,1,1,High,1
9443,1,5,High,3
9443,1,10,High,2
9444,1,10,Low,1
9445,1,10,Low,2
9446,1,1,High,1
9446,1,5,High,1
9446,1,10,High,1
9446,1,10,Low,2
9447,1,6,Low,1
9447,1,10,Low,3
9448,1,1,High,1
9448,1,2,High,1
9448,1,5,Low,2
9448,1,6,Low,4
9448,1,10,High,3
9448,1,10,Low,3
9448,4,2,High,3
9449,1,5,High,2
9449,1,6,Low,4
9449,1,10,High,1
9449,1,10,Low,1
9450,1,10,Balanced,2
9450,1,10,High,3
9450,1,10,Low,1
9451,1,1,High,1
9451,1,2,High,2
9451,1,5,High,1
9451,1,6,Low,1
9451,1,10,Low,2
9451,1,12,High,1
9451,4,0,High,1
9451,4,2,High,2
9451,4,12,High,1
9452,1,5,High,1
9452,1,7,High,1
9452,1,10,High,3
9452,1,10,Low,1
9452,4,3,High,2
9453,1,7,High,2
9453,1,10,High,3
9453,1,51,High,3
9454,1,10,Low,2
9455,1,6,Low,1
9455,1,10,Low,1
9455,4,13,Low,1
9456,1,0,High,5
9456,1,1,High,2
9456,1,5,High,4
9456,1,7,High,3
9456,1,10,High,2
9456,1,10,Low,9
9457,1,1,High,5
9457,1,1,Low,1
9457,1,10,High,2
9457,1,10,Low,2
9457,1,12,High,1
9458,1,1,High,1
9458,1,5,High,2
9458,1,6,Low,2
9458,1,10,High,3
9458,1,10,Low,10
9458,2,10,Low,1
9458,3,2,High,1
9458,4,2,High,1
9458,4,13,Low,1
9459,1,10,High,2
9459,1,10,Low,6
9460,1,10,Low,1
9461,1,6,Low,1
9461,1,10,High,1
9461,1,10,Low,1
9461,1,13,Low,2
9462,1,1,High,1
9462,3,6,Low,2
9463,1,6,Low,1
9463,1,10,Low,3
9464,1,10,High,3
9464,1,10,Low,2
9465,1,1,High,1
9465,1,6,Low,2
9465,1,10,Low,2
9465,1,13,Low,1
9465,1,32,High,1
9466,1,1,High,1
9466,1,1,Low,1
9466,1,10,High,2
9467,1,10,Low,1
9468,1,7,High,7
9468,1,7,Low,1
9468,1,10,High,2
9468,1,10,Low,7
9468,1,15,Low,2
9469,1,5,High,1
9469,1,10,Low,1
9469,1,13,Low,1
9470,1,10,High,1
9470,1,10,Low,2
9471,1,5,High,3
9471,1,10,Low,3
9472,1,10,Low,1
9472,1,13,Low,1
9473,1,6,Low,8
9473,1,10,High,1
9473,1,10,Low,1
9473,1,13,Low,1
9474,1,5,High,1
9474,1,6,Low,3
9474,1,10,Low,3
9474,1,13,Low,2
9475,1,1,High,1
9475,1,4,High,1
9475,1,5,High,1
9475,1,5,Low,1
9475,1,6,Low,1
9475,1,10,Balanced,1
9475,1,10,High,4
9475,1,10,Low,7
9475,1,13,Low,1
9475,1,32,High,1
9476,1,2,High,1
9476,1,10,Low,4
9476,1,13,Low,1
9477,1,1,High,1
9477,1,5,High,1
9477,1,5,Low,1
9477,1,10,High,3
9477,1,10,Low,2
9478,1,1,High,1
9478,1,10,Low,1
9479,1,0,High,1
9479,1,6,Low,2
9479,1,10,High,1
9480,1,6,Low,1
9480,1,7,High,2
9480,1,7,Low,1
9480,1,10,High,2
9480,1,10,Low,3
9481,1,0,High,1
9481,1,5,High,1
9481,1,10,Low,4
9482,1,10,High,2
9482,1,10,Low,2
9483,1,1,High,1
9483,1,5,High,2
9483,1,6,Low,8
9483,1,10,High,5
9483,1,10,Low,2
9483,1,13,Low,1
9483,4,1,High,1
9484,1,1,High,1
9484,1,10,High,1
9484,1,13,Low,1
9484,1,51,High,1
9485,1,10,Low,2
9486,1,5,High,3
9486,1,5,Low,1
9486,1,6,Low,1
9486,1,7,High,1
9486,1,7,Low,1
9486,1,10,High,1
9486,1,10,Low,9
9486,1,13,Low,3
9486,1,53,Low,1
9486,4,2,High,1
9487,1,0,High,1
9487,1,10,Low,3
9487,1,13,Low,1
9488,1,1,High,1
9488,1,10,Low,1
9488,1,13,Low,3
9489,1,10,Low,3
9490,1,5,High,1
9490,1,10,High,1
9490,1,10,Low,1
9491,1,7,Low,2
9491,1,10,High,1
9491,1,10,Low,3
9492,1,10,High,1
9492,1,10,Low,1
9493,1,1,High,1
9493,1,5,Low,1
9493,1,6,Low,19
9493,1,10,Low,3
9493,1,13,Low,1
9494,1,10,High,1
9494,1,10,Low,3
9495,1,10,Low,1
9496,1,1,High,1
9496,1,10,High,2
9496,1,10,Low,3
9497,1,10,High,1
9497,1,10,Low,1
9498,1,10,High,2
9498,3,51,High,2
9499,1,0,High,1
9499,1,5,High,2
9499,1,5,Low,1
9499,1,6,Low,2
9499,1,10,Low,2
9499,1,13,Low,1
9500,1,10,Low,1
9500,1,12,High,1
9500,1,13,Low,2
9500,4,13,Low,1
9501,1,0,Low,1
9501,1,10,Low,3
9501,1,52,Low,1
9502,1,0,Low,1
9502,1,6,Low,3
9502,1,10,Low,1
9503,1,0,Low,1
9503,1,1,High,1
9503,1,5,Low,1
9503,1,6,Low,2
9503,1,7,Low,1
9503,1,10,High,2
9503,1,10,Low,1
9503,4,13,Low,1
9504,1,10,High,1
9504,1,10,Low,4
9505,1,5,High,1
9505,1,10,High,1
9505,1,10,Low,3
9506,1,5,High,1
9506,1,10,High,1
9506,1,10,Low,1
9507,1,5,High,5
9507,1,7,High,1
9507,1,10,High,4
9507,1,10,Low,2
9507,1,13,Low,1
9507,3,1,High,1
9507,3,2,High,1
9507,4,2,High,2
9508,1,0,High,1
9508,1,2,High,1
9508,1,5,Low,1
9508,1,6,Low,1
9508,1,10,Low,9
9508,1,13,Low,1
9509,1,1,High,2
9509,1,6,Low,2
9509,1,10,High,1
9509,1,10,Low,2
9509,1,13,Low,2
9510,1,5,High,1
9510,1,6,Low,4
9510,1,10,Low,1
9511,1,5,High,2
9512,1,5,High,1
9512,1,6,Low,3
9512,1,10,High,2
9512,1,10,Low,2
9513,1,2,High,1
9513,1,10,Low,1
9514,1,10,Low,2
9514,1,13,Low,1
9515,1,5,High,2
9515,1,10,High,1
9515,1,10,Low,1
9515,1,13,Low,2
9516,1,10,Low,2
9517,1,6,Low,1
9517,1,10,Low,2
9518,1,0,High,1
9518,1,10,Low,2
9518,1,13,Low,2
9519,1,5,Low,1
9519,1,6,Low,7
9519,1,7,High,1
9519,1,10,High,1
9519,1,10,Low,2
9519,1,12,High,1
9519,1,13,Low,2
9520,1,0,High,1
9520,1,5,High,3
9520,1,5,Low,1
9520,1,10,High,1
9520,1,10,Low,2
9521,1,10,High,1
9521,1,10,Low,1
9522,1,1,Low,1
9522,1,6,Low,4
9522,1,10,High,1
9522,1,10,Low,6
9522,1,13,Low,2
9522,2,10,Low,1
9523,1,5,High,1
9523,1,10,Low,3
9523,1,13,Low,1
9524,1,1,High,1
9524,1,10,Low,1
9524,4,2,High,1
9525,1,6,Low,3
9525,1,10,Low,3
9526,1,5,High,1
9526,1,10,Low,2
9527,1,1,High,2
9527,1,5,High,5
9527,1,5,Low,1
9527,1,10,High,4
9527,1,10,Low,3
9528,1,1,High,1
9528,1,10,Low,1
9529,1,1,Low,1
9529,1,4,Low,1
9529,1,5,High,1
9529,1,5,Low,2
9529,1,6,Low,5
9529,1,10,Low,7
9529,1,13,Low,1
9529,1,53,High,2
9530,1,2,High,1
9530,1,10,Low,2
9531,1,6,Low,4
9531,1,10,High,1
9531,1,13,Low,1
9531,3,51,High,1
9531,4,2,High,2
9532,1,0,High,1
9532,1,5,High,1
9532,1,6,Low,7
9532,1,10,High,2
9532,1,10,Low,1
9532,1,13,Low,3
9533,1,6,Low,9
9533,1,10,High,4
9533,1,10,Low,9
9533,1,13,Low,1
9533,2,10,High,2
9534,1,10,Low,2
9535,1,1,High,2
9535,1,6,Low,3
9535,1,10,Low,1
9536,1,10,Low,1
9536,4,2,High,1
9537,1,5,High,1
9537,1,10,High,1
9537,1,10,Low,2
9538,1,5,High,1
9538,1,6,Low,1
9538,1,10,High,1
9538,4,5,High,1
9539,1,0,Low,2
9539,1,5,High,1
9539,1,5,Low,1
9539,1,6,Low,14
9539,1,10,High,1
9539,1,10,Low,3
9539,1,13,Low,2
9540,1,10,Low,2
9540,1,13,Low,1
9541,1,10,High,2
9541,1,10,Low,1
9542,1,10,Low,2
9543,1,5,High,3
9543,1,5,Low,1
9543,1,6,Low,5
9543,1,10,High,2
9544,1,5,Low,5
9544,1,6,Low,2
9544,1,10,High,2
9544,1,13,Low,1
9545,1,10,High,1
9546,1,10,High,4
9546,1,10,Low,5
9547,1,10,Low,2
9548,1,6,Low,1
9548,1,7,Low,1
9548,1,10,Low,1
9548,1,13,High,1
9548,3,13,High,1
9549,1,1,High,1
9549,1,2,High,1
9549,1,5,High,2
9549,1,10,High,3
9549,1,10,Low,4
9549,1,13,Low,1
9549,4,3,High,2
9550,1,6,Low,1
9550,1,8,High,1
9550,1,10,High,6
9550,1,10,Low,6
9550,2,10,High,1
9550,2,10,Low,1
9551,1,2,High,1
9551,1,6,Low,2
9551,1,10,High,1
9551,1,10,Low,3
9552,1,10,Low,2
9553,1,10,High,3
9553,1,10,Low,2
9553,2,10,High,4
9554,1,10,Low,1
9555,1,10,High,1
9555,1,10,Low,8
9555,1,12,High,1
9556,1,0,High,1
9556,1,5,High,2
9556,1,5,Low,1
9556,1,6,Low,6
9556,1,10,High,1
9556,1,10,Low,3
9557,1,1,High,1
9557,1,6,Low,4
9557,1,13,Low,1
9558,1,1,Low,1
9558,1,6,Low,1
9558,1,10,High,2
9558,1,10,Low,1
9558,4,2,High,1
9559,1,6,Low,1
9559,1,10,High,1
9559,1,10,Low,2
9559,1,13,Low,1
9560,1,0,High,1
9560,1,1,High,1
9560,1,3,High,1
9560,1,5,High,1
9560,1,6,Low,2
9560,1,10,High,5
9560,1,10,Low,10
9560,2,10,High,1
9561,1,0,High,1
9561,1,1,High,2
9561,1,4,High,1
9561,1,10,Balanced,1
9561,1,10,High,18
9561,1,10,Low,7
9561,1,12,High,2
9561,2,10,High,1
9561,2,10,Low,1
9562,1,10,Low,1
9563,1,6,Low,2
9563,1,10,High,3
9563,1,10,Low,4
9564,1,1,High,1
9564,1,10,Low,1
9565,1,10,High,5
9565,1,10,Low,9
9565,1,11,High,1
9565,1,13,Low,1
9565,2,10,Low,1
9566,1,6,Low,1
9566,1,10,Low,1
9566,1,13,Low,3
9566,4,2,High,3
9567,1,0,High,1
9567,1,0,Low,1
9567,1,2,High,1
9567,1,5,High,3
9567,1,5,Low,6
9567,1,6,Low,1
9567,1,10,High,2
9567,1,10,Low,4
9568,1,5,High,1
9568,1,6,Low,18
9568,1,10,High,2
9568,1,13,Low,3
9569,1,10,High,2
9569,1,10,Low,2
9570,1,5,High,3
9570,1,10,High,9
9570,1,10,Low,3
9570,1,12,High,1
9570,4,2,High,2
9571,1,1,High,1
9571,1,10,High,1
9571,1,10,Low,2
9571,4,2,High,1
9572,1,1,High,1
9572,1,5,High,1
9572,1,10,High,1
9572,1,10,Low,1
9573,1,0,High,2
9573,1,2,High,1
9573,1,3,High,2
9573,1,10,High,5
9573,1,10,Low,4
9574,1,3,High,1
9574,1,5,High,1
9574,1,6,Low,3
9574,1,10,Low,4
9574,1,13,Low,2
9575,1,6,Low,1
9575,1,10,Low,2
9576,1,2,High,1
9576,1,5,High,3
9576,1,6,Low,1
9576,1,8,High,1
9576,1,10,High,8
9576,1,10,Low,1
9576,4,1,High,1
9576,4,35,Low,1
9577,1,5,High,2
9577,1,10,High,3
9577,1,10,Low,2
9577,4,2,High,2
9578,1,2,High,1
9578,1,5,High,2
9578,1,10,High,7
9578,1,10,Low,4
9578,1,13,Low,1
9578,4,2,High,1
9578,4,5,High,1
9579,1,10,High,3
9579,1,10,Low,5
9580,1,10,Low,1
9580,1,13,Low,1
9581,1,6,Low,2
9581,1,10,Low,2
9582,1,1,High,3
9582,1,10,High,1
9582,1,10,Low,3
9582,1,53,High,5
9582,3,1,High,1
9582,4,1,High,1
9583,1,2,High,2
9583,1,10,Low,3
9584,1,6,Low,6
9584,1,10,High,4
9585,1,5,Low,1
9585,1,10,Low,7
9585,2,10,Low,1
9586,1,6,High,1
9586,1,13,Low,1
9587,1,1,Low,1
9587,1,10,Low,1
9588,1,2,High,4
9588,1,5,High,12
9588,1,6,Low,2
9588,1,10,High,4
9588,1,10,Low,11
9588,1,12,High,2
9588,2,10,Low,1
9588,4,1,High,1
9589,1,10,Low,2
9590,1,6,Low,5
9590,1,10,High,1
9590,1,10,Low,1
9590,3,13,Low,1
9590,4,1,High,1
9591,1,2,High,1
9591,1,6,Low,1
9592,1,5,Low,1
9592,1,6,Low,3
9592,1,10,High,2
9592,1,10,Low,2
9592,4,5,High,2
9593,1,1,High,2
9593,1,5,High,2
9593,1,7,High,4
9593,1,10,High,2
9593,1,10,Low,3
9594,1,6,Low,5
9594,1,10,High,3
9594,1,10,Low,1
9595,1,0,Low,2
9595,1,7,High,1
9595,1,7,Low,3
9595,1,10,High,1
9595,1,12,High,1
9596,1,6,Low,2
9596,1,10,Low,1
9596,1,13,Low,1
9597,1,1,High,1
9597,1,2,High,1
9597,1,5,High,3
9597,1,6,Low,1
9597,1,7,Low,4
9597,1,10,High,3
9597,1,10,Low,3
9598,1,5,High,1
9598,1,10,High,2
9598,1,10,Low,4
9598,4,8,High,1
9599,1,6,Low,2
9599,1,7,Low,6
9599,1,10,Low,4
9599,1,13,Low,1
9600,1,1,High,1
9600,1,5,Low,3
9600,1,6,Low,3
9601,1,0,High,2
9601,1,1,High,1
9601,1,5,Low,1
9601,1,6,Low,3
9601,1,10,High,1
9601,1,10,Low,1
9601,3,1,High,1
9602,1,1,High,1
9602,1,5,High,2
9602,1,10,High,5
9602,1,10,Low,6
9603,1,6,Low,1
9603,1,10,High,1
9603,1,10,Low,2
9604,1,6,Low,1
9604,1,10,Low,2
9604,1,13,Low,1
9605,1,5,High,1
9605,1,10,High,3
9605,1,10,Low,2
9605,1,12,High,1
9606,1,1,High,1
9606,1,5,Low,1
9606,1,6,Low,10
9606,1,10,Low,2
9606,1,13,Low,1
9606,1,32,High,1
9606,4,5,High,1
9607,1,6,Low,4
9607,1,10,Low,2
9607,1,13,Low,1
9607,3,1,High,1
9608,1,7,High,2
9608,1,7,Low,2
9608,1,10,High,2
9608,1,13,Low,2
9609,1,10,High,1
9609,1,10,Low,6
9610,1,10,High,1
9610,1,10,Low,2
9610,1,51,High,3
9611,1,1,High,4
9611,1,3,High,1
9611,1,5,High,1
9611,1,6,Low,1
9611,1,10,High,1
9611,1,10,Low,3
9611,1,32,High,2
9611,1,51,High,1
9611,4,0,Low,1
9612,1,0,Low,1
9612,1,10,High,1
9612,1,10,Low,1
9612,1,13,Low,1
9613,1,0,High,1
9613,1,1,High,1
9613,1,5,High,5
9613,1,6,Low,2
9613,1,10,High,2
9613,1,10,Low,2
9613,1,51,High,1
9614,1,6,Low,1
9614,1,10,Low,2
9615,1,6,Low,2
9615,1,10,Low,3
9616,1,6,Low,1
9616,1,10,High,1
9616,1,10,Low,1
9616,4,2,High,1
9617,1,10,High,1
9617,1,10,Low,2
9617,4,1,High,1
9618,1,10,High,2
9618,1,10,Low,2
9618,1,32,High,1
9619,1,0,High,1
9619,1,6,Low,1
9619,1,10,Low,5
9620,1,10,Low,3
9620,4,5,High,2
9621,1,1,High,1
9621,1,5,High,4
9621,1,10,High,2
9621,1,10,Low,2
9622,1,1,High,1
9622,1,5,High,2
9622,1,10,Low,2
9623,1,6,Low,3
9623,1,10,High,1
9623,1,10,Low,2
9624,1,1,High,1
9624,1,10,Low,1
9624,1,13,Low,1
9625,1,1,High,1
9625,1,5,High,3
9625,1,6,Low,3
9625,1,10,High,1
9625,1,10,Low,3
9625,1,13,Low,1
9626,1,8,High,3
9626,1,10,High,1
9626,1,10,Low,1
9627,1,1,Low,1
9627,1,10,Low,1
9627,1,13,Low,1
9628,1,5,High,1
9628,1,10,High,1
9628,1,10,Low,1
9628,4,13,Low,1
9629,1,5,High,1
9629,1,10,Low,4
9630,1,5,High,1
9630,1,10,Low,2
9631,1,1,High,1
9631,1,2,High,1
9631,1,6,Low,4
9631,1,10,High,1
9631,1,10,Low,1
9632,1,1,High,2
9632,1,10,High,5
9632,1,10,Low,6
9633,1,0,High,1
9633,1,5,High,2
9633,1,5,Low,1
9633,1,7,Low,2
9633,1,10,Low,3
9633,1,13,Low,3
9633,4,0,High,1
9633,4,1,High,1
9634,1,10,Low,2
9635,1,1,High,2
9635,1,2,High,1
9635,1,5,High,1
9635,1,10,High,3
9635,1,10,Low,8
9636,1,5,High,1
9636,1,10,High,1
9636,1,10,Low,2
9637,1,5,High,2
9637,1,10,Low,3
9638,1,5,High,1
9638,1,10,High,1
9638,1,10,Low,1
9639,1,5,High,9
9639,1,10,High,4
9639,1,10,Low,4
9640,1,10,Low,3
9640,4,2,High,1
9641,1,10,Low,2
9642,1,10,High,1
9642,1,10,Low,1
9643,1,5,High,2
9643,1,10,Low,4
9644,1,1,High,4
9644,1,5,High,3
9644,1,10,High,7
9644,1,10,Low,11
9644,3,8,High,1
9644,3,12,High,1
9644,4,2,High,1
9644,4,8,High,1
9645,1,10,High,2
9645,1,10,Low,6
9645,1,13,Low,1
9646,1,10,High,1
9646,1,10,Low,4
9646,1,13,Low,1
9646,4,2,High,1
9647,1,10,Low,1
9647,1,13,High,1
9648,1,6,Low,2
9648,1,10,High,1
9648,1,10,Low,2
9648,1,13,Low,1
9649,1,0,High,2
9649,1,5,High,1
9649,1,6,Low,7
9649,1,7,High,3
